PANEL	FILE	gene_id	CHR	P0	P1	HSQ	BEST.GWAS.ID	BEST.GWAS.Z	EQTL.ID	EQTL.R2	EQTL.Z	EQTL.GWAS.Z	NSNP	NWGT	MODEL	MODELCV.R2	MODELCV.PV	TWAS.Z	TWAS.P	IS_POSITIVE	qvalue	PROB
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000250961.wgt.RDat	ENSG00000250961	5	57395060	57533424	0.086485	rs16886034	3.95	rs245805	0.094	-7.2	-0.735	4703	1	top1	0.094	1.5e-12	0.735	0.462	0	1	0
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000151388.wgt.RDat	ENSG00000151388	5	33523535	33892192	0.111096	rs340991	4.34	rs11748425	0.1239	8.3	-0.608	4764	6	lasso	0.14	8e-19	-1.408	0.159	0	0.69825	0.30175
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000198055.wgt.RDat	ENSG00000198055	5	177403204	177442901	0.214009	rs72822844	-10	rs6876577	0.1	8.43	-1.8604	4624	20	enet	0.14	8.1e-19	-2.5887	0.00963	0	0.113010882352941	0.886989117647059
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000247627.wgt.RDat	ENSG00000247627	5	134926660	134928036	0.207281	rs140104799	3.78	rs6596164	0.1586	-9.02	2.415	3928	4	lasso	0.19	2.4e-24	-2.448	0.0144	0	0.158135779816514	0.841864220183486
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000213763.wgt.RDat	ENSG00000213763	5	77784881	77786003	0.225128	rs354596	4.21	rs62365106	0.193	-9.99	1.6987	4762	1	top1	0.19	2.8e-25	-1.699	0.0894	0	0.533637931034483	0.466362068965517
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000222448.wgt.RDat	ENSG00000222448	5	179845832	179846152	0.238344	rs151076594	-4.6	rs79793670	0.20159	10.71	1.295	6389	8	lasso	0.22	1.4e-28	1.267	0.205	0	0.768541121495327	0.231458878504673
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000120324.wgt.RDat	ENSG00000120324	5	141192353	141195642	0.376528	rs62379189	-3.84	rs72798870	0.332287	-13.11	-1.3347	3987	4	lasso	0.44	4.4e-64	1.2876	0.1979	0	0.761692282958199	0.238307717041801
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000078795.wgt.RDat	ENSG00000078795	5	137887968	137942747	0.302537	rs700615	9	rs12153513	0.2172	-10.48	0.441	3545	1	top1	0.22	1.5e-28	-0.4406	0.659	0	1	0
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000279400.wgt.RDat	ENSG00000279400	5	36667717	36669958	0.251201	rs78139673	-3.69	rs10941257	0.119	8.65	-0.4213	3899	6	lasso	0.15	1.1e-19	-0.312	0.755	0	1	0
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000271752.wgt.RDat	ENSG00000271752	5	50662859	50663266	0.19352	rs2432016	9.83	rs139228317	0.3039	-12.37	-1.397	1815	4	lasso	0.3	2.2e-41	1.252	0.211	0	0.779527777777778	0.220472222222222
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000145741.wgt.RDat	ENSG00000145741	5	73498408	73505635	0.151491	rs148159521	4.41	rs889235	0.076	-6.37	1.5885	4607	5	lasso	0.095	9.7e-13	-1.1297	0.2586	0	0.844998113207547	0.155001886792453
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000251495.wgt.RDat	ENSG00000251495	5	82009602	82010094	0.368204	rs77160841	-4.87	rs3846682	0.3347	-13.16	-1.4835	4008	21	enet	0.34	3.7e-47	1.694	0.0903	0	0.533637931034483	0.466362068965517
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000249899.wgt.RDat	ENSG00000249899	5	52932419	52990278	0.124651	rs1694059	-7.28	rs4407592	0.0982	-8.11	-0.383	3978	1	top1	0.098	4.4e-13	0.383	0.7019	0	1	0
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000038274.wgt.RDat	ENSG00000038274	5	163503114	163519336	0.616894	rs34615221	10.4	rs11738786	0.5071	-15.92	0.795	1094	3	lasso	0.51	7.7e-80	-0.751	0.452	0	1	0
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000249412.wgt.RDat	ENSG00000249412	5	179963615	179964419	0.246075	rs190654355	7.79	rs56303855	0.139	-8.8	0.953	6238	1	top1	0.14	3.7e-18	-0.953	0.34	0	0.931304347826087	0.068695652173913
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000253966.wgt.RDat	ENSG00000253966	5	170896929	170904461	0.078047	rs10463010	9.78	rs6876868	0.0591	6.3	0.5628	4338	1	top1	0.059	2.2e-08	0.5628	0.5735	0	1	0
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000248126.wgt.RDat	ENSG00000248126	5	1598127	1598247	0.185451	rs2736107	4.68	rs12520279	0.0746	-7.31	-0.6771	6826	3	lasso	0.14	9.1e-18	-1.084	0.278	0	0.862088082901554	0.137911917098446
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000272130.wgt.RDat	ENSG00000272130	5	21569755	21570045	0.32993	rs3099025	14	rs28497197	0.291981	12.6	-2.01	1975	4	lasso	0.32	2.3e-43	-2.01	0.04479	0	0.360696	0.639304
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000072682.wgt.RDat	ENSG00000072682	5	132191838	132295315	0.027617	rs739719	3.71	rs7724769	0.01657	4.41	-1.18508	2988	1	top1	0.017	0.0023	-1.18508	0.236	0	0.816450867052023	0.183549132947977
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000184845.wgt.RDat	ENSG00000184845	5	175440039	175444208	0.235105	rs59038460	-11	rs354973	0.1611	9.25	-0.602	4984	8	enet	0.18	5.3e-23	0.205	0.837	0	1	0
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000161013.wgt.RDat	ENSG00000161013	5	179797597	179806952	0.276018	rs12163951	13.6	rs113962680	0.16713	-9.78	0.953	6617	8	lasso	0.23	2e-30	-1.51	0.1311	0	0.655618257261411	0.344381742738589
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000113643.wgt.RDat	ENSG00000113643	5	168486445	168519299	0.229635	rs62378709	-13.7	rs1903110	0.25044	-11.32	2.255	4227	1	top1	0.25	2.9e-33	-2.255	0.02413	0	0.236750901639344	0.763249098360656
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000249119.wgt.RDat	ENSG00000249119	5	134924123	134924644	0.030509	rs6864698	5.2	rs112457502	0.0325	-4.99	-0.988	3917	1	top1	0.032	3e-05	0.988	0.3231	0	0.910001647058823	0.0899983529411765
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000113749.wgt.RDat	ENSG00000113749	5	175658030	175710756	0.143826	rs4868651	-9.65	rs6556154	0.1215	8.52	0.2065	4806	8	lasso	0.14	1e-18	0.9112	0.362	0	0.966409090909091	0.0335909090909091
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000146021.wgt.RDat	ENSG00000146021	5	137617500	137736090	0.244647	rs57958956	6.71	rs13186242	0.22228	-11.06	-5.548	3663	1	top1	0.22	3e-29	5.548	2.88e-08	1	9.072e-07	0.9999990928
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000157510.wgt.RDat	ENSG00000157510	5	149271871	149341802	0.384825	rs75148296	-4.44	rs7734458	0.4646	15.33	0.3953	4631	2	lasso	0.47	2.7e-70	0.3952	0.693	0	1	0
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000218227.wgt.RDat	ENSG00000218227	5	178055604	178056194	0.052871	rs11741681	4.9	rs111566909	0.0252	-5.39	-0.0327	5619	6	enet	0.026	0.00017	0.3174	0.7509	0	1	0
test_tissue	/home/liulab/datasource/sim_twas_model_6/test_tissue/ENSG00000067248.wgt.RDat	ENSG00000067248	5	55256245	55307722	0.370688	5:56257825:G:T	-6.86	rs10063904	0.3629	13.66	2.53	5290	24	enet	0.36	3.2e-51	2.03	0.04216	0	0.352905734265734	0.647094265734266
test_tissue	/home/users/nus/e1124850/e1124850/locuscompare2file/sim_coloc/sim_twas_model_6/test_tissue/ENSG00000113108.wgt.RDat	ENSG00000113108	5	140558268	140564781	0.415232	rs67253891	-5.53	rs35123781	0.39486	-14.21	-0.042	3153	6	lasso	0.41	5.3e-60	0.1909	0.8486	0	1	0
test_tissue	/home/users/nus/e1124850/e1124850/locuscompare2file/sim_coloc/sim_twas_model_6/test_tissue/ENSG00000204764.wgt.RDat	ENSG00000204764	5	170861870	171300015	0.64371	rs12658131	13.9	rs2112647	0.4298	14.66	0.899	4376	6	lasso	0.54	9.1e-87	1.247	0.212	0	0.780812307692308	0.219187692307692
test_tissue	/home/users/nus/e1124850/e1124850/locuscompare2file/sim_coloc/sim_twas_model_6/test_tissue/ENSG00000133835.wgt.RDat	ENSG00000133835	5	119452443	119637199	0.034806	rs62376362	-5.36	rs10037316	0.0076	4.28	2.14	3968	1	top1	0.0076	0.029	2.14	0.0324	0	0.293809090909091	0.706190909090909
test_tissue	/home/users/nus/e1124850/e1124850/locuscompare2file/sim_coloc/sim_twas_model_6/test_tissue/ENSG00000145782.wgt.RDat	ENSG00000145782	5	115828200	115841858	0.16625	rs2937056	-8.05	rs10478214	0.142	7.84	-0.353	4261	1	top1	0.14	1.5e-18	-0.353	0.724	0	1	0
test_tissue	/home/users/nus/e1124850/e1124850/locuscompare2file/sim_coloc/sim_twas_model_6/test_tissue/ENSG00000244073.wgt.RDat	ENSG00000244073	5	37085056	37085852	0.452609	rs75579070	-7.39	rs10941281	0.4091	14.45	0.158	4174	1	top1	0.41	4.3e-59	0.158	0.875	0	1	0
test_tissue	/home/users/nus/e1124850/e1124850/locuscompare2file/sim_coloc/sim_twas_model_6/test_tissue/ENSG00000152932.wgt.RDat	ENSG00000152932	5	58582221	58859394	0.096622	rs200074045	6.95	rs16887124	0.132	8.18	1.36731	2660	4	lasso	0.18	5.6e-23	0.381	0.7034	0	1	0
test_tissue	/home/users/nus/e1124850/e1124850/locuscompare2file/sim_coloc/sim_twas_model_6/test_tissue/ENSG00000175449.wgt.RDat	ENSG00000175449	5	95646754	95684773	0.124878	rs2611715	8.41	rs6897550	0.0722	-6.93	0.47	3791	3	lasso	0.075	3.2e-10	-0.289	0.7724	0	1	0
test_tissue	/home/users/nus/e1124850/e1124850/locuscompare2file/sim_coloc/sim_twas_model_6/test_tissue/ENSG00000250764.wgt.RDat	ENSG00000250764	5	32103445	32121941	0.020116	rs13168108	-9.5	rs10755250	0.0313	-4.9	2.128	4195	2	lasso	0.033	2.3e-05	-1.475	0.14	0	0.673372111553785	0.326627888446215
test_tissue	/home/users/nus/e1124850/e1124850/locuscompare2file/sim_coloc/sim_twas_model_6/test_tissue/ENSG00000204659.wgt.RDat	ENSG00000204659	5	179678583	179680974	0.053546	rs12188055	-13.5	rs11954271	0.0919	-6.97	-0.81	6746	1	top1	0.092	2.6e-12	0.81	0.418	0	1	0
test_tissue	/home/users/nus/e1124850/e1124850/locuscompare2file/sim_coloc/sim_twas_model_6/test_tissue/ENSG00000234290.wgt.RDat	ENSG00000234290	5	132468890	132473043	0.314309	rs11958749	8.97	rs41076	0.452	15.77	8.89	3201	6	lasso	0.49	2.6e-74	8.85	9.11e-19	1	7.78905e-17	1
test_tissue	/home/users/nus/e1124850/e1124850/locuscompare2file/sim_coloc/sim_twas_model_6/test_tissue/ENSG00000135083.wgt.RDat	ENSG00000135083	5	160251652	160345396	0.031168	rs2458025	12.7	rs2059133	0.0679	5.95	0.74	4342	1	top1	0.068	2e-09	0.74	0.459	0	1	0
test_tissue	/home/users/nus/e1124850/e1124850/locuscompare2file/sim_coloc/sim_twas_model_6/test_tissue/ENSG00000146001.wgt.RDat	ENSG00000146001	5	141234333	141237529	0.231766	rs4912822	-6.84	rs6860077	0.197232	9.95	-0.5158	4068	1	top1	0.2	8.4e-26	-0.5158	0.606	0	1	0
test_tissue	/home/users/nus/e1124850/e1124850/locuscompare2file/sim_coloc/sim_twas_model_6/test_tissue/ENSG00000131507.wgt.RDat	ENSG00000131507	5	142108505	142154443	0.704125	rs12522307	3.92	rs2910003	0.7696	-19.61	0.139	5028	1	top1	0.77	4.6e-161	-0.138855	0.89	0	1	0
test_tissue	/home/users/nus/e1124850/e1124850/locuscompare2file/sim_coloc/sim_twas_model_6/test_tissue/ENSG00000249494.wgt.RDat	ENSG00000249494	5	119006347	119070890	0.157229	rs4895211	-11.4	rs4526142	0.15963	9.01	1.58	4126	1	top1	0.16	8.3e-21	1.58	0.114	0	0.603796460176991	0.396203539823009
test_tissue	/home/users/nus/e1124850/e1124850/locuscompare2file/sim_coloc/sim_twas_model_6/test_tissue/ENSG00000186468.wgt.RDat	ENSG00000186468	5	82273358	82278577	0.087497	rs73769037	-4.76	rs73127915	0.0172	5.45	-1.368	3785	4	lasso	0.048	4.2e-07	-0.694	0.488	0	1	0
test_tissue	/home/users/nus/e1124850/e1124850/locuscompare2file/sim_coloc/sim_twas_model_6/test_tissue/ENSG00000168903.wgt.RDat	ENSG00000168903	5	180988845	181006727	0.351405	rs10434801	18.3	rs4700866	0.3226	-12.84	-0.6	4300	5	lasso	0.35	3.2e-48	0.577	0.5639	0	1	0
test_tissue	/home/users/nus/e1124850/e1124850/locuscompare2file/sim_coloc/sim_twas_model_6/test_tissue/ENSG00000120149.wgt.RDat	ENSG00000120149	5	174724533	174730893	0.640555	rs9313723	6.78	rs6883463	0.5228	16.18	0.287	5935	7	lasso	0.53	1.8e-84	0.29	0.7719	0	1	0
test_tissue	/home/users/nus/e1124850/e1124850/locuscompare2file/sim_coloc/sim_twas_model_6/test_tissue/ENSG00000145736.wgt.RDat	ENSG00000145736	5	71032670	71067689	0.362971	rs35468409	-10.7	rs7379152	0.13355	9.33	-0.77304	1695	6	lasso	0.38	6.7e-54	-0.547	0.584	0	1	0
test_tissue	/home/users/nus/e1124850/e1124850/locuscompare2file/sim_coloc/sim_twas_model_6/test_tissue/ENSG00000068796.wgt.RDat	ENSG00000068796	5	62306162	62537249	0.345754	rs387064	-7.37	rs75224865	0.3241	13.1	0.563	2753	1	top1	0.32	1.7e-44	0.563	0.574	0	1	0
test_tissue	/home/users/nus/e1124850/e1124850/locuscompare2file/sim_coloc/sim_twas_model_6/test_tissue/ENSG00000132837.wgt.RDat	ENSG00000132837	5	78997606	79236038	0.357379	rs264981	-4.27	rs10474540	0.17789	-9.67	-1.146	4643	7	lasso	0.28	5.7e-38	1.007	0.314	0	0.905681927710843	0.0943180722891566
test_tissue	/home/users/nus/e1124850/e1124850/locuscompare2file/sim_coloc/sim_twas_model_6/test_tissue/ENSG00000015479.wgt.RDat	ENSG00000015479	5	139293648	139331677	0.25193	rs73269480	-4.11	rs11741807	0.18863	9.75	-0.2143	2758	8	lasso	0.2	9.9e-26	-0.38156	0.7028	0	1	0
test_tissue	/home/users/nus/e1124850/e1124850/locuscompare2file/sim_coloc/sim_twas_model_6/test_tissue/ENSG00000254245.wgt.RDat	ENSG00000254245	5	141343829	141512979	0.176156	rs72794082	-4.47	rs112800995	0.154691	-8.89	-0.6193	4195	1	top1	0.15	3.6e-20	0.6193	0.5357	0	1	0
test_tissue	/home/users/nus/e1124850/e1124850/locuscompare2file/sim_coloc/sim_twas_model_6/test_tissue/ENSG00000181751.wgt.RDat	ENSG00000181751	5	103258702	103278660	0.065296	rs7731711	8.16	rs10479239	0.0393	-5.07	0.798	2717	1	top1	0.039	4.7e-06	-0.798	0.425	0	1	0
test_tissue	/home/users/nus/e1124850/e1124850/locuscompare2file/sim_coloc/sim_twas_model_6/test_tissue/ENSG00000272108.wgt.RDat	ENSG00000272108	5	141118680	141120765	0.239853	rs76889228	-3.76	rs2249213	0.172951	-9.82	0.683	3868	7	lasso	0.2	9.8e-26	-0.453	0.6505	0	1	0
test_tissue	/home/users/nus/e1124850/e1124850/locuscompare2file/sim_coloc/sim_twas_model_6/test_tissue/ENSG00000043462.wgt.RDat	ENSG00000043462	5	170246237	170298227	0.44086	rs1428587	-11.95	rs13183382	0.3364	12.98	1.511	4390	6	lasso	0.35	8e-49	1.452	0.1465	0	0.675	0.325
test_tissue	/home/users/nus/e1124850/e1124850/locuscompare2file/sim_coloc/sim_twas_model_6/test_tissue/ENSG00000226040.wgt.RDat	ENSG00000226040	5	141896168	141896689	0.172187	rs148353418	-5.02	rs155811	0.09792	7.32	-0.00227	4889	3	lasso	0.1	1e-13	-0.1131	0.91	0	1	0
test_tissue	/home/users/nus/e1124850/e1124850/locuscompare2file/sim_coloc/sim_twas_model_6/test_tissue/ENSG00000176049.wgt.RDat	ENSG00000176049	5	147585439	147782848	0.195021	rs34619946	-5.88	rs319194	0.1802	-9.64	1.123	4265	1	top1	0.18	1.7e-23	-1.123	0.2616	0	0.844998113207547	0.155001886792453
test_tissue	/home/users/nus/e1124850/e1124850/locuscompare2file/sim_coloc/sim_twas_model_6/test_tissue/ENSG00000150712.wgt.RDat	ENSG00000150712	5	32226994	32313009	0.327248	rs11750808	-11.3	rs657956	0.158	10.38	-0.582	4387	22	enet	0.3	2.1e-40	-0.476	0.634	0	1	0
test_tissue	/home/users/nus/e1124850/e1124850/locuscompare2file/sim_coloc/sim_twas_model_6/test_tissue/ENSG00000164327.wgt.RDat	ENSG00000164327	5	38937919	39074408	0.330062	rs7447994	7.1	rs270582	0.2437	-11.29	-2.24	4233	3	lasso	0.24	2.4e-32	2.24	0.0252	0	0.245239024390244	0.754760975609756
test_tissue	/home/users/nus/e1124850/e1124850/locuscompare2file/sim_coloc/sim_twas_model_6/test_tissue/ENSG00000049167.wgt.RDat	ENSG00000049167	5	60873831	60945073	0.107764	rs1355098	-4.72	rs2409739	0.0909	-7.44	-0.0797	3393	7	enet	0.098	4.3e-13	0.3107	0.756	0	1	0
test_tissue	/home/users/nus/e1124850/e1124850/locuscompare2file/sim_coloc/sim_twas_model_6/test_tissue/ENSG00000145794.wgt.RDat	ENSG00000145794	5	127290831	127465737	0.119836	rs141271544	-3.92	rs13186142	0.104	7.33	-0.486	4128	1	top1	0.1	8.6e-14	-0.486	0.627	0	1	0
test_tissue	/home/users/nus/e1124850/e1124850/locuscompare2file/sim_coloc/sim_twas_model_6/test_tissue/ENSG00000251076.wgt.RDat	ENSG00000251076	5	112228283	112257309	0.050383	rs1822489	3.75	rs462895	0.0214	-4.58	0.326	4526	1	top1	0.021	6e-04	-0.326	0.744	0	1	0
