gene_id	coloc	SMR.b	SMR.se	SMR.p	fastenloc	ecaviar	TWAS.Z	TWAS.P	PrediXcan.Z	PrediXcan.P	SMR.z	IS_POSITIVE	smrqvalue	twasqvalue	predixcanqvalue
ENSG00000173221	0.9847	0.376779	0.09172	3.992e-05	0.9458	0.0732	4.356	1.32e-05	4.53930330276489	5.644e-06	4.10792629742695	1	0.9991973465702305	0.999727579310345	0.9998725307924529
ENSG00000164512	0.056	0.166722	0.165785	0.3146	0.1429	0.0015	0.885	0.376	0.547319889068604	0.5842	1.00565189854329	0	0.34771899795112304	0.03158838709677403	0.0
ENSG00000113231	0.0399	-0.00588841	0.103888	0.9548	0.2119	0.0009	0.0	1.0	-0.0315191517576066	0.9749	-0.0566803673186509	0	0.096615371772525	0.0	0.0
ENSG00000205089	0.0377	-0.0133922	0.168164	0.9365	0.06469	0.0015	-0.0796	0.9365	0.0	1.0	-0.0796377345924217	0	0.09697310702942197	0.0	0.0
ENSG00000213430	0.0377	1.16825	0.544263	0.03183	0.000272	0.0016	0.0	1.0	0.0	1.0	2.14648065365457	0	0.758324907129556	0.0	0.0
ENSG00000055147	0.0245	-0.282328	0.266505	0.2894	0.00623	0.0017	0.0	1.0	0.0	1.0	-1.05937224442318	1	0.35728627738056995	0.0	0.0
ENSG00000164615	0.0494	0.0360657	0.256124	0.888	0.0006437	0.0015	0.0	1.0	0.0	1.0	0.140813434117849	0	0.11386565514879199	0.0	0.0
ENSG00000254373	0.0198	0.206845	0.280613	0.4611	0.01709	0.0019	0.0	1.0	0.0	1.0	0.737118380117813	0	0.23964393527684802	0.0	0.0
ENSG00000170561	0.1091	-0.258921	0.150181	0.0847	0.06242	0.002	-1.78	0.0753	-1.77839195728302	0.07534	-1.72405963470745	0	0.5722834397602	0.499255	0.386517142857143
ENSG00000183876	0.0147	0.00262032	0.253508	0.9918	0.02011	0.0018	0.0	1.0	0.0	1.0	0.0103362418543005	0	0.09438894599508696	0.0	0.0
ENSG00000122008	0.0394	0.00722342	0.119912	0.952	0.007989	0.0015	0.0657	0.948	0.356028340109873	0.7218	0.0602393421842685	0	0.096615371772525	0.0	0.0
ENSG00000113456	0.0561	0.0466644	0.0934033	0.6174	0.1871	0.0026	1.402	0.161	1.17422632176836	0.2403	0.499601191820846	0	0.17578487282394595	0.30174999999999996	0.0
ENSG00000037749	0.0502	0.0910137	0.128509	0.4788	0.02365	0.0015	0.0	1.0	0.729395151138306	0.4658	0.708228217478931	0	0.229098926920016	0.0	0.0
ENSG00000280420	0.0522	-0.0490483	0.104477	0.6387	0.0924	0.0017	0.0941	0.9251	-0.237013878856736	0.8126	-0.469465049723863	0	0.17552191202539802	0.0	0.0
ENSG00000175471	0.012	-0.412171	0.253568	0.1041	0.04074	0.0018	0.0	1.0	0.0	1.0	-1.62548507698132	0	0.531008491037411	0.0	0.0
ENSG00000049656	0.0635	-0.0075317	0.0944049	0.9364	0.02406	0.0009	-0.0798	0.936	-0.0147506894832813	0.9882	-0.0797808164618574	0	0.09697310702942197	0.0	0.0
ENSG00000145936	0.0426	-0.894334	0.403531	0.02667	0.03417	0.0025	0.0	1.0	0.0	1.0	-2.21627086890474	1	0.778953820525495	0.0	0.0
ENSG00000251666	0.0622	0.10718	0.0848175	0.2064	0.05091	0.0017	1.2698	0.2041	1.25921960186314	0.208	1.26365431662098	0	0.410387329156785	0.23145887850467295	0.031221789883268958
ENSG00000186105	0.0066	0.204297	0.323419	0.5276	0.0009608	0.0016	0.0	1.0	0.0	1.0	0.631679029370569	0	0.20658778514416498	0.0	0.0
ENSG00000183666	0.0854	-0.0973108	0.0618926	0.1159	0.03687	0.0014	-1.522	0.128	-1.55048302868603	0.121	-1.5722525794683	0	0.507169637994937	0.353518987341772	0.19535000000000002
ENSG00000170085	0.0363	0.0787628	0.310856	0.8	0.002082	0.0016	0.0	1.0	0.0	1.0	0.253373909462902	0	0.129236386272795	0.0	0.0
ENSG00000113615	0.2039	0.271459	0.125726	0.03084	0.1225	0.0033	-0.934	0.35	0.0	1.0	2.15913176272211	0	0.759103293673494	0.04784090909090899	0.0
ENSG00000245688	0.0625	0.078063	0.0908616	0.3903	0.05739	0.0015	0.8614	0.389	0.885497812833604	0.3759	0.859141815684514	0	0.28907688964052203	0.015575052854122973	0.0
ENSG00000049860	0.9938	0.388171	0.0849245	4.859e-06	0.939	0.0696	5.054	4.32e-07	5.06795162510703	4.021e-07	4.57077757302074	1	0.9998773098389666	0.9999894468571429	0.99998930414
ENSG00000280159	0.0929	0.149672	0.104914	0.1537	0.035	0.0015	1.44	0.15	1.44101655483246	0.1496	1.42661608555579	0	0.45993419392171697	0.32499999999999996	0.14727999999999997
ENSG00000113360	0.0589	-0.0185782	0.143735	0.8972	0.1067	0.0016	0.0	1.0	0.558337626815729	0.5766	-0.12925313945803	0	0.10874824928404203	0.0	0.0
ENSG00000120725	0.0481	-0.101239	0.114935	0.3784	0.05854	0.0014	-0.88499	0.3762	-0.712855815887451	0.4759	-0.880836994823161	0	0.298892190415852	0.03158838709677403	0.0
ENSG00000250961	0.0454	0.102257	0.139784	0.4645	0.03781	0.0013	0.735	0.462	0.726524419899488	0.4675	0.73153579808848	0	0.23948190243309597	0.0	0.0
ENSG00000151388	0.0741	-0.0925905	0.119985	0.4403	0.03819	0.0015	-1.408	0.159	-1.52657218609742	0.1269	-0.771683960495062	0	0.25384033512610804	0.30174999999999996	0.169949180327869
ENSG00000198055	0.5964	-0.218478	0.120009	0.06868	0.552	0.0046	-2.5887	0.00963	-2.28986606460175	0.02203	-1.82051346149039	0	0.6175920009178699	0.886989117647059	0.734266
ENSG00000247627	0.2973	-0.267186	0.114217	0.01932	0.3411	0.0052	-2.448	0.0144	-2.4149956703186	0.01574	-2.33928399450169	0	0.825193664368325	0.8418642201834861	0.792958461538462
ENSG00000213763	0.1204	-0.174167	0.103926	0.09376	0.1498	0.0028	-1.699	0.0894	-1.63834158963999	0.1014	-1.67587514192791	0	0.5516980375840159	0.466362068965517	0.25536319018404896
ENSG00000222448	0.0723	0.12493	0.0971083	0.1983	0.08816	0.0016	1.267	0.205	1.29540085792542	0.1952	1.28650177173321	0	0.415046549789138	0.23145887850467295	0.06815219123506
ENSG00000120324	0.0734	0.104212	0.0784291	0.1839	0.1225	0.0015	1.2876	0.1979	1.26672131591311	0.2053	1.32874150028497	0	0.421968407333014	0.23830771704180098	0.033481176470588014
ENSG00000078795	0.0403	-0.0422516	0.095963	0.6597	0.03729	0.0011	-0.4406	0.659	-0.44063812494278	0.6595	-0.440290528641247	0	0.17158245454196996	0.0	0.0
ENSG00000279400	0.0368	-0.0490435	0.116543	0.6739	0.05981	0.0017	-0.312	0.755	-0.300414768220932	0.7639	-0.420818925203573	0	0.16791789419817904	0.0	0.0
ENSG00000271752	0.0765	0.113538	0.0816957	0.1646	0.05734	0.0023	1.252	0.211	1.39727461338043	0.1623	1.38976714808735	0	0.44325529991730495	0.22047222222222196	0.12345246636771301
ENSG00000145741	0.1074	-0.250521	0.162402	0.1229	0.1081	0.0016	-1.1297	0.2586	-1.32302624854471	0.1858	-1.54259799756161	0	0.493178396398963	0.15500188679245297	0.07716763485477196
ENSG00000251495	0.1028	0.115016	0.0787352	0.1441	0.1126	0.0021	1.694	0.0903	1.48651923755837	0.1371	1.46079517166401	0	0.47032829307508095	0.466362068965517	0.158416923076923
ENSG00000249899	0.0422	0.0474376	0.124072	0.7022	0.02456	0.001	0.383	0.7019	0.446017192300462	0.6556	0.382339286865691	0	0.15629640167088998	0.0	0.0
ENSG00000145623	0.0736	0.18253	0.16573	0.2707	0.08513	0.0016	0.0	1.0	0.0	1.0	1.10136969770108	0	0.363823572161349	0.0	0.0
ENSG00000038274	0.061	-0.0515821	0.064976	0.4273	0.03526	0.0016	-0.751	0.452	-0.794641613960266	0.4268	-0.793863888204876	0	0.263066261302332	0.0	0.0
ENSG00000171444	0.0888	-0.211912	0.151878	0.1629	0.1724	0.0018	0.0	1.0	-1.55609926826723	0.1197	-1.3952777887515	0	0.44325529991730495	0.0	0.19954804469273701
ENSG00000249412	0.0545	-0.108833	0.1148	0.3431	0.0381	0.0014	-0.953	0.34	-0.974927871694726	0.3296	-0.948022648083624	0	0.32741963863051804	0.06869565217391305	0.0
ENSG00000253966	0.0516	0.0891587	0.159011	0.575	0.0326	0.0014	0.5628	0.5735	0.0	1.0	0.560707749778317	0	0.18709851361758	0.0	0.0
ENSG00000248126	0.0522	0.0725826	0.136894	0.596	0.08163	0.0016	-1.084	0.278	-0.184178264073093	0.8539	0.530210235656786	0	0.18177276448522794	0.13791191709844597	0.0
ENSG00000113600	0.0441	0.138867	0.29313	0.6357	0.001097	0.0017	0.0	1.0	0.0	1.0	0.473738614266708	0	0.17578487282394595	0.0	0.0
ENSG00000185056	0.0084	0.323768	0.31685	0.3069	0.008412	0.0016	0.0	1.0	0.0	1.0	1.02183367524065	0	0.35191449546733	0.0	0.0
ENSG00000272130	0.1488	-0.164331	0.0826175	0.04669	0.1128	0.0021	-2.01	0.04479	-2.01744180433803	0.04365	-1.98905800829122	0	0.6934381145305459	0.639304	0.560932352941176
ENSG00000072682	0.0509	-0.32692	0.242113	0.1769	0.08143	0.0019	-1.18508	0.236	0.0	1.0	-1.35027858892335	0	0.43086011393120505	0.18354913294797703	0.0
ENSG00000184845	0.0995	-0.0454011	0.107731	0.6734	0.01812	0.0015	0.205	0.837	-0.602368295192719	0.5469	-0.421430228996296	0	0.16791789419817904	0.0	0.0
ENSG00000161013	0.0757	-0.0981496	0.103413	0.3426	0.1015	0.0015	-1.51	0.1311	-1.45359271232992	0.1461	-0.949103110827459	0	0.32741963863051804	0.344381742738589	0.151059708737864
ENSG00000113643	0.2289	-0.198289	0.0894218	0.02659	0.1291	0.0029	-2.255	0.02413	-2.25500679016113	0.02413	-2.21745704067688	0	0.778953820525495	0.763249098360656	0.719576601941748
ENSG00000249119	0.0599	0.198448	0.20465	0.3322	0.06645	0.002	0.988	0.3231	0.0	1.0	0.969694600537503	0	0.33082122752229703	0.08999835294117697	0.0
ENSG00000113749	0.0367	0.0243579	0.118016	0.8365	0.1542	0.0011	0.9112	0.362	0.91485467693367	0.3603	0.206394895607375	0	0.124227999025592	0.033590909090909005	0.0
ENSG00000146021	0.9177	0.497428	0.0991372	5.233e-07	0.4315	0.0129	5.548	2.88e-08	5.70764768166587	1.145e-08	5.01757160783238	1	0.9999827825794398	0.9999990928	0.99999960841
ENSG00000157510	0.0408	0.0263399	0.0666563	0.6927	0.0602	0.0016	0.3952	0.693	0.394538620934529	0.6932	0.395159947371816	0	0.156658472198122	0.0	0.0
ENSG00000227908	0.013	0.285354	0.273926	0.2975	0.03646	0.0017	0.0	1.0	0.0	1.0	1.04171929645233	0	0.356750330091015	0.0	0.0
ENSG00000218227	0.0431	0.0987173	0.194999	0.6127	0.06173	0.0015	0.3174	0.7509	0.0	1.0	0.506245160231591	0	0.17578487282394595	0.0	0.0
ENSG00000067248	0.336	0.185647	0.074265	0.01243	0.272	0.0044	2.03	0.04216	1.51145327091217	0.1307	2.4997912879553	0	0.871246007330941	0.647094265734266	0.16338021390374302
ENSG00000113108	0.0524	0.00296826	0.0705894	0.9665	0.04637	0.001	0.1909	0.8486	0.396471592568541	0.6918	0.042049656180673	0	0.09554673407494696	0.0	0.0
ENSG00000204764	0.1678	0.0617908	0.0688126	0.3692	0.07897	0.0028	1.247	0.212	1.23785777297925	0.2158	0.89795764147845	0	0.30773845666530697	0.21918769230769197	0.002654054054053945
ENSG00000133835	0.0798	0.502144	0.262322	0.05559	0.04221	0.002	2.14	0.0324	0.0	1.0	1.91422755239744	0	0.6683678862273961	0.706190909090909	0.0
ENSG00000019582	0.0407	-0.0684415	0.32618	0.8338	0.0009992	0.0017	0.0	1.0	0.0	1.0	-0.209827395916365	0	0.124227999025592	0.0	0.0
ENSG00000145782	0.0601	-0.044684	0.126705	0.7243	0.02353	0.0012	-0.353	0.724	0.0	1.0	-0.352661694487195	0	0.14786572591680003	0.0	0.0
ENSG00000247311	0.0413	0.0612959	0.259892	0.8135	0.0	0.0011	0.0	1.0	0.0	1.0	0.235851430594247	0	0.127371857031515	0.0	0.0
ENSG00000244073	0.1212	0.0110228	0.0699385	0.8748	0.02035	0.0018	0.158	0.875	0.179788974437532	0.8573	0.157607040471271	0	0.11808980310737904	0.0	0.0
ENSG00000152932	0.0762	0.16854	0.124889	0.1772	0.04152	0.0015	0.381	0.7034	0.592918655584234	0.5532	1.34951837231462	0	0.43086011393120505	0.0	0.0
ENSG00000175745	0.0089	0.144686	0.306273	0.6366	0.0007471	0.0015	0.0	1.0	0.0	1.0	0.472408602782485	0	0.17578487282394595	0.0	0.0
ENSG00000175449	0.047	-0.0687301	0.146494	0.639	0.0	0.0009	-0.289	0.7724	-0.470221191644669	0.6382	-0.469166655289636	0	0.17552191202539802	0.0	0.0
ENSG00000250764	0.0633	-0.439965	0.225556	0.05111	0.1145	0.0017	-1.475	0.14	0.0	1.0	-1.95057990033517	0	0.677367044123395	0.32662788844621504	0.0
ENSG00000204659	0.0452	0.116467	0.144736	0.421	0.05356	0.001	0.81	0.418	0.809857666492462	0.418	0.804685772717223	0	0.26746429267264504	0.0	0.0
ENSG00000234290	0.9075	0.563528	0.0710169	2.103e-15	0.62	0.0101	8.85	9.11e-19	8.86410809672318	7.712e-19	7.93512530116071	1	0.9999999999998097	0.9999999999999999	0.9999999999999999
ENSG00000135083	0.0524	0.124057	0.168786	0.4623	0.02552	0.0013	0.74	0.459	0.0	1.0	0.734995793489981	0	0.23964393527684802	0.0	0.0
ENSG00000169570	0.0098	0.434878	0.289021	0.1324	0.01269	0.0018	0.0	1.0	0.0	1.0	1.5046588310192	0	0.47535116204302896	0.0	0.0
ENSG00000146001	0.0413	-0.0518304	0.100602	0.6064	0.02288	0.0011	-0.5158	0.606	-0.515824496746063	0.606	-0.515202481063995	0	0.17578487282394595	0.0	0.0
ENSG00000131507	0.0365	-0.00729705	0.0525525	0.8896	0.0618	0.0014	-0.138855	0.89	-0.138854652643204	0.8896	-0.138852575995433	0	0.11386565514879199	0.0	0.0
ENSG00000249494	0.0832	0.176263	0.11313	0.1192	0.02716	0.0012	1.58	0.114	1.58014786243439	0.1141	1.55805710244851	0	0.500301800827461	0.39620353982300904	0.21990965909090898
ENSG00000186468	0.1027	-0.259561	0.195841	0.185	0.07451	0.0028	-0.694	0.488	0.0	1.0	-1.32536598567205	0	0.421968407333014	0.0	0.0
ENSG00000113448	0.2396	0.147189	0.11304	0.1929	0.0	0.0047	0.0	1.0	2.28687020625242	0.0222	1.3020966029724	0	0.415046549789138	0.0	0.734266
ENSG00000168903	0.0412	0.0469246	0.0782239	0.5486	0.2369	0.0013	0.577	0.5639	0.600420534610748	0.5482	0.599875485625237	0	0.19788671385748002	0.0	0.0
ENSG00000120149	0.1289	0.0180023	0.0626744	0.7739	0.03258	0.0021	0.29	0.7719	0.428873578983644	0.668	0.287235298622723	0	0.13605031990378602	0.0	0.0
ENSG00000145736	0.0585	0.000328746	0.108032	0.9976	0.05529	0.0416	-0.547	0.584	-0.621804171963689	0.5341	0.0030430428021327	0	0.09438894599508696	0.0	0.0
ENSG00000187678	0.0058	0.323265	0.370301	0.3827	0.0002694	0.0015	0.0	1.0	0.0	1.0	0.87297900896838	0	0.29435230488768904	0.0	0.0
ENSG00000068796	0.0804	0.0442964	0.0787977	0.574	0.03438	0.0019	0.563	0.574	0.57629806350148	0.5644	0.562153463870138	0	0.18745425305836405	0.0	0.0
ENSG00000231185	0.0459	0.136139	0.249236	0.5849	0.01868	0.0016	0.0	1.0	0.0	1.0	0.546225264408031	0	0.18429634014066998	0.0	0.0
ENSG00000132837	0.0604	0.118259	0.103851	0.2548	0.1601	0.0019	1.007	0.314	0.998080151677975	0.3182	1.13873722929967	0	0.36828879274832105	0.094318072289157	0.0
ENSG00000015479	0.0371	-0.0221591	0.103427	0.8304	0.1419	0.0016	-0.38156	0.7028	-0.276728228878269	0.782	-0.214248697148714	0	0.124227999025592	0.0	0.0
ENSG00000254245	0.0469	0.069767	0.112902	0.5366	0.1235	0.0015	0.6193	0.5357	0.476034113464859	0.6341	0.617942994809658	0	0.20422383060984795	0.0	0.0
ENSG00000151876	0.0398	0.766094	0.39417	0.05195	0.0	0.0013	0.0	1.0	0.0	1.0	1.9435624223051	0	0.673960107131528	0.0	0.0
ENSG00000181751	0.0505	0.00377391	0.224001	0.9866	0.03224	0.0015	-0.798	0.425	0.0	1.0	0.0168477372868871	0	0.09438894599508696	0.0	0.0
ENSG00000272108	0.0421	-0.0693669	0.101719	0.4953	0.1157	0.0015	-0.453	0.6505	-0.643609254768406	0.5198	-0.681946342374581	0	0.22399166430615902	0.0	0.0
ENSG00000043462	0.0956	0.116894	0.077813	0.133	0.09206	0.0022	1.452	0.1465	1.53571515872245	0.1246	1.50224255587113	0	0.47534561993880997	0.32499999999999996	0.18051538461538497
ENSG00000226040	0.0377	-0.000310702	0.136737	0.9982	0.02952	0.0014	-0.1131	0.91	-0.0428641385328443	0.9658	-0.0022722598857661	0	0.09438894599508696	0.0	0.0
ENSG00000176049	0.0803	-0.116706	0.104589	0.2645	0.04125	0.0019	-1.123	0.2616	-1.12270927429199	0.2616	-1.11585348363595	0	0.36526983666702795	0.15500188679245297	0.0
ENSG00000164300	0.1179	-1.11891	0.455563	0.01405	0.0004198	0.002	0.0	1.0	0.0	1.0	-2.45610376610919	0	0.863311372426429	0.0	0.0
ENSG00000150712	0.0498	-0.0558137	0.0961107	0.5614	0.03457	0.0017	-0.476	0.634	-0.497615150373214	0.6188	-0.580723062052404	0	0.19051514997053098	0.0	0.0
ENSG00000164327	0.2193	0.201615	0.0917849	0.02805	0.1366	0.0041	2.24	0.0252	2.23535895347595	0.02539	2.19660314496175	0	0.7710121087905251	0.754760975609756	0.707770865384615
ENSG00000049167	0.0406	0.065411	0.135971	0.6305	0.03447	0.0018	0.3107	0.756	0.482036530971527	0.6298	0.481065815504777	0	0.17578487282394595	0.0	0.0
ENSG00000145794	0.0421	-0.0665177	0.137099	0.6275	0.0414	0.0014	-0.486	0.627	-0.486192047595978	0.6268	-0.485180052370914	0	0.17578487282394595	0.0	0.0
ENSG00000251076	0.0335	-0.0798184	0.220448	0.7173	0.04398	0.0014	-0.326	0.744	0.0	1.0	-0.362073595587168	0	0.14976955878515297	0.0	0.0
ENSG00000081059	0.0319	-0.14203	0.272073	0.6017	0.06788	0.002	0.0	1.0	0.0	1.0	-0.522029014271905	0	0.17720659488415302	0.0	0.0
ENSG00000272523	0.2336	0.357477	0.164327	0.0296	0.09042	0.0023	0.0	1.0	2.30536222457886	0.02115	2.17540026897588	1	0.763258500352997	0.0	0.739347142857143
ENSG00000134056	0.1387	-0.123715	0.107131	0.2482	0.04248	0.0302	-1.163	0.2449	-1.16281151771545	0.2449	-1.1548011313252	0	0.36828879274832105	0.17255267605633795	0.0
ENSG00000155858	0.0452	0.180527	0.265794	0.497	0.01528	0.0015	0.69	0.49	0.0	1.0	0.679198928493495	0	0.22245020487100897	0.0	0.0
ENSG00000164307	0.0078	-0.0238509	0.238437	0.9203	0.0259	0.0016	0.0	1.0	0.0	1.0	-0.10003019665572	0	0.10118311986612405	0.0	0.0
ENSG00000112972	0.0599	-0.110552	0.113663	0.3307	0.08377	0.0017	-0.8616	0.389	-0.915737422963577	0.3598	-0.972629615618099	0	0.330957395462236	0.015575052854122973	0.0
ENSG00000087116	0.0737	0.146424	0.132593	0.2695	0.1011	0.0017	1.115	0.265	1.11540710926056	0.2647	1.1043116906624	1	0.36526983666702795	0.15185828877005303	0.0
ENSG00000250240	0.0558	0.152719	0.172068	0.3748	0.0329	0.0013	0.0	1.0	0.0	1.0	0.887550270823163	0	0.30198891368534997	0.0	0.0
ENSG00000251348	0.042	-0.0333817	0.230992	0.8851	0.0	0.0011	-0.112	0.911	0.0	1.0	-0.144514528641685	0	0.11431669702008096	0.0	0.0
ENSG00000164404	0.0485	0.0610307	0.0726264	0.4007	0.06558	0.0013	1.2934	0.1959	1.17590752766687	0.2396	0.840337673352941	0	0.284607024189824	0.24073786407766995	0.0
ENSG00000134057	0.2507	0.0576396	0.105862	0.5861	0.02533	0.0333	0.63007	0.5286	0.54529881477356	0.5855	0.54447866089815	0	0.18429634014066998	0.0	0.0
ENSG00000249167	0.0493	0.144912	0.168614	0.3901	0.1032	0.0015	0.755	0.45	0.86808830499649	0.3853	0.85943041503078	0	0.28907688964052203	0.0	0.0
ENSG00000247572	0.0444	-0.110637	0.189485	0.5593	0.07263	0.0014	-0.3144	0.753	0.0	1.0	-0.583882629231865	0	0.190882528677225	0.0	0.0
ENSG00000048140	0.075	0.0423981	0.169583	0.8026	0.06123	0.0015	0.0	1.0	0.623233447964436	0.5331	0.250013857521096	0	0.129236386272795	0.0	0.0
ENSG00000178913	0.0602	0.237725	0.320903	0.4588	0.02524	0.0025	0.0	1.0	0.0	1.0	0.740800179493492	1	0.24129452821972397	0.0	0.0
ENSG00000164466	0.1029	0.124796	0.0896397	0.1639	0.1168	0.0021	1.4016	0.161	1.63343561432569	0.1024	1.3921956454562	0	0.44325529991730495	0.30174999999999996	0.25260487804877996
ENSG00000170469	0.1322	-0.1176	0.101387	0.2461	0.1813	0.0018	-0.6745	0.5	-0.870437460922907	0.3841	-1.15991202027873	0	0.37128477604741905	0.0	0.0
ENSG00000253846	0.0569	-0.74969	0.505105	0.1377	0.0	0.0017	0.0	1.0	0.0	1.0	-1.48422605200899	0	0.47534561993880997	0.0	0.0
ENSG00000153347	0.1961	-0.115249	0.0896908	0.1988	0.0	0.0037	-1.349	0.177	-1.33071231488573	0.1833	-1.28495899244962	0	0.415046549789138	0.27192783505154605	0.07810882352941195
ENSG00000164330	0.0361	-0.0155267	0.13644	0.9094	0.02784	0.0014	-0.134	0.8938	0.0	1.0	-0.113798739372618	0	0.10471913254112197	0.0	0.0
ENSG00000164252	0.0402	0.0729366	0.166071	0.6605	0.02843	0.001	0.604	0.546	0.818090586305921	0.4133	0.439189262423903	1	0.17158245454196996	0.0	0.0
ENSG00000123213	0.9951	-0.497764	0.107368	3.551e-06	0.9302	0.0797	-5.14	2.82e-07	-5.13508653640747	2.82e-07	-4.63605543551151	1	0.9999059631422772	0.999992818	0.9999921499069767
ENSG00000185261	0.0457	-0.0308785	0.123727	0.8029	0.09461	0.0015	-0.168	0.866	-0.291984144926433	0.7703	-0.249569616979317	1	0.129236386272795	0.0	0.0
ENSG00000113209	0.0428	0.0273612	0.064043	0.6692	0.02959	0.0013	0.3683	0.7127	0.389888918565844	0.6966	0.427231703699077	0	0.16866552152083503	0.0	0.0
ENSG00000171421	0.0461	-0.0410791	0.107714	0.7029	0.01277	0.0012	-0.382	0.703	-0.254071921110153	0.7994	-0.38137196650389	0	0.15629640167088998	0.0	0.0
ENSG00000170091	0.045	0.0411875	0.0621475	0.5075	0.06179	0.0015	0.688	0.491	0.697197129438466	0.4857	0.662737841425641	0	0.22021755684544597	0.0	0.0
ENSG00000155846	0.0684	-0.0766365	0.0590785	0.1946	0.06909	0.0015	-1.3	0.194	-1.34441833554502	0.1788	-1.29719779615258	0	0.415046549789138	0.243589576547231	0.09593670886076
ENSG00000169777	0.0594	0.0951138	0.114486	0.4061	0.01706	0.0013	0.0	1.0	0.958269003354738	0.3379	0.830789790891463	0	0.28304950866006795	0.0	0.0
ENSG00000094880	0.0439	-0.053656	0.159945	0.7373	0.0	0.0013	-0.44	0.66	-0.327884488632907	0.743	-0.335465316202445	0	0.14450501321627196	0.0	0.0
ENSG00000178187	0.3781	-0.213477	0.0848541	0.01188	0.2402	0.0048	-2.44	0.0147	-2.47219006275576	0.01343	-2.51581243569845	0	0.8735416351659779	0.840037272727273	0.81937404494382
ENSG00000250602	0.8721	0.628032	0.206265	0.002328	0.728	0.0196	3.54	0.000393	0.0	1.0	3.04478219765835	1	0.9675944298972337	0.99381025	0.0
ENSG00000261934	0.9795	0.521793	0.118341	1.037e-05	0.9448	0.0303	4.937	7.93e-07	5.05383974051742	4.33e-07	4.4092326412655	1	0.999765431974573	0.9999813878235294	0.9999887325869565
ENSG00000156463	0.0359	0.0108459	0.130336	0.9337	0.04073	0.0013	0.0832	0.9337	0.18981779673439	0.8495	0.0832149214338326	0	0.09697310702942197	0.0	0.0
ENSG00000279370	0.0416	0.0747035	0.14297	0.6013	0.06636	0.0016	0.52389	0.6	0.0	1.0	0.522511715744562	1	0.17720659488415302	0.0	0.0
